Category,Bank_Code,Bank_Name,Internet_Address,Swift_Code,Address,City,Zip_Code,Telephone,Fax
בנקים רגילים,13,"בנק אגוד לישראל בע""מ",www.unionbank.co.il,UNBKILITXXX,"אחוזת בית 6-8; ת""ד 2428; תל אביב",תל אביב -יפו,6102401,03-5191111,03-5191274
בנקים רגילים,11,"בנק דיסקונט לישראל בע""מ",http://www.discountbank.co.il,IDBLILITXXX,"מגדל דיסקונט; יהודה הלוי 23; ת""ד 456; תל אביב",תל אביב -יפו,6513601,03-5145555,03-5153263
בנקים רגילים,31,"בנק הבינלאומי הראשון לישראל בע""מ",http://www.fibi.co.il,FIRBILITXXX,שד' רוטשילד 42; תל אביב,תל אביב -יפו,6688310,03-5196111,03-5100316
בנקים רגילים,12,"בנק הפועלים בע""מ",http://www.bankhapoalim.co.il,POALILITXXX,שד' רוטשילד 50; תל אביב,תל אביב -יפו,6688314,03-5673333,03-5607028
בנקים רגילים,4,"בנק יהב לעובדי המדינה בע""מ",http://www.bank-yahav.co.il,BYAHILI1XXX,"ירמיהו 80; ת""ד 36333; ירושלים",ירושלים,9446759,02-5009911,02-5010091
בנקים רגילים,54,"בנק ירושלים בע""מ",www.bankjerusalem.co.il,JERSILITXXX,הנגב 2 קרית תעופה,"אזור רמלה של""ש",7019900,076-8096001,076-8096008
בנקים רגילים,10,"בנק לאומי לישראל בע""מ",http://www.bankleumi.co.il,LUMIILITXXX,"יהודה הלוי 34; ת""ד 2; תל אביב",תל אביב -יפו,6513616,076-8858111,076-8858360
בנקים רגילים,20,"בנק מזרחי טפחות בע""מ",http://www.mizrahi-tefahot,MIZBILITXXX,ז'בוטינסקי 7; רמת גן,רמת גן,5252007,03-7559000,03-7559913
בנקים רגילים,46,"בנק מסד בע""מ",http://www.bankmassad.co.il,MASBILITXXX,אבא הילל 12 רמת גן,רמת גן,5250606,03-5641333,03-5602384
בנקים רגילים,17,"בנק מרכנתיל דיסקונט בע""מ",www.mercantile.co.il,BARTILTXXX,Menachem Begin,תל אביב -יפו,6701201,076-8044530,076-8044985
בנקים רגילים,18,"וואן זירו הבנק הדיגיטלי בע""מ",https://www.onezerobank.com/,DIGIILITXXX,,תל אביב -יפו,6706703,03-5188988,03-5188988
חברות שרותים משותפות,50,"מרכז סליקה בנקאי בע""מ",,,,חולון,58858,03-5111555,03-5101760
בנקי חוץ,23,אייצ' אס בי סי בנק,http://home.global.hsbc/,hsbcilit,בית אמות אטריום,רמת גן,52505,03-7101100,03-7101130
בנקי חוץ,27,Barclays Bank PLC,,BARCGB22,רחוב הארבעה 21 בנין פלטינום; תל אביב,תל אביב -יפו,64739,03-6238600,03-6238666
בנקי חוץ,22,Citibank N.A,www.citibank.com,CITIILITXXX,דרך מנחם בגין 121; מגדל עזריאלי שרונה; תל אביב,תל אביב -יפו,6701203,03-6842424,03-6842401
בנקי חוץ,39,SBI State Bank of India,,SBINILITXXX,"זבוטינסקי 3 ר""ג בורסת היהלומים בנין שמשון",רמת גן,52520,03-7565404,03-6005377
